checklist_id,last_edited_date,country,country_code,state,state_code,county,county_code,iba_code,bcr_code,usfws_code,atlas_block,locality,locality_id,locality_type,observation_date,time_observations_started,observer_id,sampling_event_identifier,protocol_type,protocol_code,project_code,duration_minutes,effort_distance_km,effort_area_ha,number_observers,all_species_reported,group_identifier,trip_comments,X,Y,latitude,longitude,time_to_next_sunset,time_to_next_sunrise,time_from_last_sunrise,time_from_last_sunset,is_up,land_cover,fold_id,cell_id,log_duration,time_of_day,time_of_day_fine,dominant_land_cover,daytimes_alt
S56963991,2019-06-01 13:07:20,United States,US,Maine,US-ME,Cumberland,US-ME-005,,30.0,,,Scarborough Marsh--Pelreco Building,L448190,H,2019-06-01,07:25:00,obs766103,S56963991,Stationary,P21,EBIRD,50,,,1,True,,,741370.44592512,874964.608908204,43.543571199999896,-70.34957890000001,12.8430555555556,21.630555555555603,2.3613888888888903,11.170555555555598,True,11,2,4424,3.912023005428146,morning,6-9,water,early-morning
S56995790,2019-06-05 23:15:51,United States,US,Texas,US-TX,Harris,US-TX-201,,37.0,,,Jersey Village Jogging Trail Wetland,L6013884,H,2019-06-02,09:02:00,obs351200,S56995790,Traveling,P22,EBIRD_TX,39,1.062,,10,True,,,-1560465.53673848,-544033.453759555,29.8961471999995,-95.57594,11.284444444444402,21.326388888888896,2.6702777777777795,12.724444444444401,True,23,1,15218,3.6635616461296463,morning,9-12,developed,early-morning
S57308134,2019-06-12 12:25:10,United States,US,Florida,US-FL,Glades,US-FL-043,US-FL_126,31.0,,,Harney Pond Canal Recreation Area,L127374,H,2019-06-12,06:00:00,obs202167,S57308134,Stationary,P21,EBIRD,11,,,1,True,,,-158442.559898326,-1004555.70380994,26.9954139999993,-81.0675573,14.3127777777778,0.49361111111111106,23.5069444444444,9.69333333333333,False,90,1,15726,2.3978952727983707,morning,6-9,baseline,dawn
S56980875,2020-01-23 13:21:22,United States,US,Kansas,US-KS,Johnson,US-KS-091,,22.0,,,Gearheart Residence - Lenexa,L2312473,P,2019-06-01,19:46:00,obs208797,S56980875,Stationary,P21,EBIRD,21,,,1,True,,,-1321929.83871672,439355.91256046604,38.9701839999998,-94.826116,0.881944444444444,10.1558333333333,13.8377777777778,23.1297222222222,True,41,1,9171,3.044522437723423,afternoon/evening,18-21,forest,late-evening
S57562895,2019-06-21 12:04:46,United States,US,Utah,US-UT,Salt Lake,US-UT-035,,9.0,,,Red Butte Arboretum,L614045,H,2019-06-21,09:15:00,obs89131,S57562895,Traveling,P22,EBIRD,45,0.805,,2,True,,Red Butte Creek Survey,-2676110.42531069,1000975.9197388,40.7633811999999,-111.82438370000001,11.785555555555598,20.6886111111111,3.315,12.2180555555556,True,22,1,7268,3.8066624897703196,morning,9-12,developed,late-morning
S63174116,2020-01-08 14:04:48,United States,US,New Hampshire,US-NH,Coos,US-NH-007,US-NH_2408,14.0,,,North Carter.2,L10454735,P,2019-06-18,03:00:00,obs948152,S63174116,Stationary,P21,EBIRD,5,,,1,True,,"This 5-minute count was conducted by a community scientist participating in the Mountain Birdwatch program: a high-elevation monitoring program for birds of the spruce-fir forest across eastern NY and northern New England, and is coordinated by the Vermont Center for Ecostudies. To learn more, and to participate on any day in June, visit mountainbirdwatch.org",666522.685623269,953838.779606023,44.310089999999896,-71.18092,17.5261111111111,2.00388888888889,21.9975,6.47944444444444,False,42,2,3690,1.6094379124341003,night,3-6,forest,night
S57203951,2019-06-08 16:48:53,United States,US,Wisconsin,US-WI,Sauk,US-WI-111,,23.0,,4308937NE,"""Badger Ammo """"Paint Shop""""""",L9432264,P,2019-06-07,08:01:00,obs146365,S57203951,Stationary,P21,EBIRD_ATL_WI,5,,,1,True,,,-833350.1743887991,865131.439471775,43.3695608999999,-89.7634908,12.600555555555598,21.2980555555556,2.6975,11.410555555555598,True,81,3,4512,1.6094379124341003,morning,6-9,baseline,early-morning
S57535715,2019-06-20 12:32:53,United States,US,Florida,US-FL,Leon,US-FL-073,,27.0,,,my yard,L7409578,P,2019-06-19,08:09:00,obs1100799,S57535715,Stationary,P21,EBIRD,60,,,1,True,,,-463076.96794094204,-602472.276642618,30.4812806999995,-84.2834723,12.5502777777778,22.4363888888889,1.5666666666666698,11.4538888888889,True,42,1,15024,4.0943445622221,morning,6-9,forest,early-morning
S57348148,2019-06-13 16:24:09,United States,US,Minnesota,US-MN,Ramsey,US-MN-123,,23.0,,,"486 Bear Ave N, Vadnais Heights US-MN (45.0598,-93.0808)",L7965303,P,2019-06-13,15:08:00,obs1162365,S57348148,Stationary,P21,EBIRD,15,,,1,True,,,-1073389.46038427,1086594.68813091,45.059760999999895,-93.08076700000001,5.86888888888889,14.28,9.718611111111109,18.1394444444444,True,43,3,2754,2.70805020110221,afternoon/evening,15-18,forest,early-evening
S57655132,2019-06-24 14:24:22,United States,US,Massachusetts,US-MA,Barnstable,US-MA-001,,30.0,,,"Mitsubishi527 Station Avenue, Yarmouth, Massachusetts, US (41.688, -70.213)",L9527506,P,2019-06-24,14:23:00,obs1214314,S57655132,Stationary,P21,EBIRD,1,,,1,True,,,773115.232614183,670418.854586758,41.68806829999979,-70.2129,5.93833333333333,14.7422222222222,9.263055555555551,18.063888888888897,True,21,2,6363,0.0,afternoon/evening,12-15,developed,early-evening
G4324216,2019-07-04 02:43:29,United States,US,Washington,US-WA,Kitsap,US-WA-035,,,,,Bainbridge Island Ferry Terminal,L1925502,H,2019-06-29,18:50:00,"obs907572,obs690833","S57799234,S57802552",Traveling,P22,EBIRD,14,0.209,,2,True,G4324216,,-3161159.15308573,2043631.32322552,47.6226137,-122.5104683,2.3622222222222202,10.4280555555556,13.5808333333333,21.6355555555556,True,11,2,735,2.6390573296152584,afternoon/evening,18-21,water,late-evening
S57356076,2019-06-13 22:20:10,United States,US,Colorado,US-CO,Larimer,US-CO-069,,18.0,,,Reservoir Ridge Natural Area,L2936295,H,2019-06-13,19:31:00,obs175005,S57356076,Traveling,P22,EBIRD,45,1.207,,1,True,,,-2144680.44192431,810421.2142006729,40.605612099999796,-105.1522064,1.02194444444444,9.97027777777778,14.029166666666699,22.9855555555556,True,52,3,7471,3.8066624897703196,afternoon/evening,18-21,baseline,late-evening
S57179363,2020-06-15 10:19:54,United States,US,Illinois,US-IL,Grundy,US-IL-063,,22.0,,,Heidecke Lake SFWA,L210410,H,2019-06-07,13:36:00,obs560093,S57179363,Traveling,P22,EBIRD,46,1.238,,2,True,,,-736966.899426414,632871.716852204,41.38382839999979,-88.31274029999999,6.80611111111111,15.7325,8.26361111111111,17.204444444444402,True,71,2,6628,3.828641396489095,afternoon/evening,12-15,baseline,mid-day
S57329333,2019-06-14 10:49:21,United States,US,Tennessee,US-TN,Knox,US-TN-093,,28.0,,,Beaver Creek @ Melton Hill Lake,L2797379,P,2019-06-12,15:00:00,obs509878,S57329333,Stationary,P21,EBIRD,360,,,1,True,,,-424188.763527096,5068.60835614385,35.9485855939456,-84.2009884346638,5.896944444444441,15.3277777777778,8.67194444444444,18.1102777777778,True,41,3,11830,5.886104031450156,afternoon/evening,15-18,forest,early-evening
S57086236,2019-06-04 15:54:17,United States,US,Oregon,US-OR,Benton,US-OR-003,,5.0,,,"1650 Southwest Pioneer Place, Corvallis, Oregon, US (44.566, -123.273)",L9408317,P,2019-06-04,12:48:00,obs562442,S57086236,Stationary,P21,EBIRD_PNW,5,,,1,True,,,-3369286.39969759,1764566.18629409,44.566350099999894,-123.2733366,8.09027777777778,16.6911111111111,7.301944444444441,15.9225,True,23,2,3178,1.6094379124341003,night,12-15,developed,mid-day
S57213343,2019-06-08 22:37:02,United States,US,Illinois,US-IL,Will,US-IL-197,US-IL_1672,22.0,,,Midewin Natl Tallgrass Prairie--Explosives Road area,L446101,H,2019-06-08,08:30:00,obs1383468,S57213343,Traveling,P22,EBIRD,240,0.402,,1,True,,Newton's loop,-723015.191909433,629837.932639039,41.3684835999999,-88.1435037,11.9038888888889,20.8188888888889,3.17777777777778,12.1061111111111,True,81,2,6629,5.480638923341991,morning,6-9,baseline,late-morning
S57027062,2019-06-03 07:49:15,United States,US,North Carolina,US-NC,Cleveland,US-NC-045,,29.0,,,1559 Branchville Road Shelby NC,L852916,P,2019-06-03,06:51:00,obs143358,S57027062,Stationary,P21,EBIRD,15,,,1,True,,,-182227.809783779,-72838.0821532253,35.326275599999704,-81.50223079999999,13.761666666666699,23.3444444444444,0.651388888888889,10.248333333333301,True,21,3,12344,2.70805020110221,morning,6-9,developed,early-morning
S57658247,2020-08-12 10:51:15,United States,US,New York,US-NY,Orange,US-NY-071,,28.0,,,"US NY West Point, Yard",L8172871,P,2019-06-24,16:14:00,obs534395,S57658247,Stationary,P21,EBIRD,14,,,1,True,,,462442.379311801,612966.477117401,41.39643089999979,-73.9741303,4.32222222222222,13.16,10.8452777777778,19.68,True,11,3,6702,2.6390573296152584,afternoon/evening,15-18,water,early-evening
S57201270,2019-06-08 15:22:27,United States,US,Virginia,US-VA,Virginia Beach,US-VA-810,,27.0,,o36076H2SE,"Dad's Loop, Virginia Beach, Virginia, US (36.896, -76.13)",L8305550,P,2019-06-08,14:55:00,obs457196,S57201270,Traveling,P22,EBIRD_ATL_VA,27,1.706,,2,True,,"Wind 18NE, 74F, fully overcast!",300363.313394564,104906.254780865,36.89584599999971,-76.1295573,5.455555555555559,14.831944444444401,9.165555555555551,18.553333333333303,True,21,1,11082,3.295836866004329,afternoon/evening,12-15,developed,early-evening
S57591805,2019-06-22 12:38:11,United States,US,Washington,US-WA,Kitsap,US-WA-035,,,,,Port of Eglon,L2407758,H,2019-06-22,09:05:00,obs314919,S57591805,Traveling,P22,EBIRD_PNW,23,1.931,,1,True,,,-3149264.53651945,2067945.56244073,47.86262539999989,-122.51396299999999,12.1302777777778,20.11,3.89444444444444,11.8725,True,11,2,531,3.1354942159291497,morning,9-12,water,late-morning
S57186981,2019-06-08 16:54:10,United States,US,Georgia,US-GA,Cobb,US-GA-067,,29.0,,,Pair Rd SW,L9010420,P,2019-06-08,07:00:00,obs1318516,S57186981,Stationary,P21,EBIRD,780,,,2,True,,,-472524.08375616797,-222904.26822811,33.8765439999996,-84.59660079999999,13.7988888888889,23.451388888888896,0.546944444444444,10.2094444444444,True,21,2,13273,6.659293919683638,morning,6-9,developed,early-morning
S57289348,2019-06-11 13:05:18,United States,US,Maryland,US-MD,Talbot,US-MD-041,,30.0,,,Pickering Creek Audubon Center,L446378,H,2019-06-11,08:50:00,obs240716,S57289348,Traveling,P22,EBIRD,39,0.483,,1,True,,,292811.54515842604,322507.04137005896,38.8578214300772,-76.1252154749079,11.661111111111099,20.8130555555556,3.18583333333333,12.3472222222222,True,90,3,9245,3.6635616461296463,morning,6-9,baseline,late-morning
S57283871,2019-06-11 09:42:42,United States,US,Pennsylvania,US-PA,Wyoming,US-PA-131,,28.0,,,HOP_19,L3740669,P,2019-06-09,06:45:00,obs39460,S57283871,Stationary,P21,EBIRD,3,,,2,True,,,309878.986519101,627010.637708846,41.590999999999795,-75.788,13.8519444444444,22.7297222222222,1.26722222222222,10.1577777777778,True,43,3,6508,1.0986122886681098,morning,6-9,forest,early-morning
S57844872,2019-07-01 14:35:38,United States,US,Montana,US-MT,Glacier,US-MT-035,US-MT_2954,10.0,,,"2 Medicine Road, Montana, US (48.485, -113.368)",L9567781,P,2019-06-30,10:36:00,obs1222938,S57844872,Traveling,P22,EBIRD,43,0.917,,1,True,,Sunny. Warm. Two medicine Campground,-2489093.30369527,1853476.37631899,48.4848440999855,-113.368319,11.048333333333302,18.996388888888898,5.013611111111111,12.9486111111111,True,42,3,270,3.7612001156935624,morning,9-12,forest,late-morning
G4255843,2019-06-07 20:31:57,United States,US,Maryland,US-MD,Worcester,US-MD-047,US-MD_361,30.0,,,Assateague State Park,L126619,H,2019-06-05,07:50:00,"obs184971,obs137025","S57104797,S57121756",Traveling,P22,EBIRD,109,2.853,,3,True,G4255843,,381173.50840805203,256351.52845003,38.2289961013916,-75.14400862807571,12.509444444444402,21.793888888888898,2.20222222222222,11.500555555555598,True,11,1,9895,4.6913478822291435,morning,6-9,water,early-morning
S57821400,2019-06-30 17:34:52,United States,US,Texas,US-TX,Wilbarger,US-TX-487,,19.0,,,Flat Tire Highway 287,L9563001,P,2019-06-30,15:41:00,obs410145,S57821400,Stationary,P21,EBIRD,53,,,1,True,,Waiting on a flat fix,-1799813.57082488,-17941.9067378593,34.1154817999996,-99.1094733,5.18416666666667,14.791666666666698,9.215277777777779,18.8155555555556,True,82,2,13150,3.970291913552122,afternoon/evening,15-18,baseline,early-evening
S57193810,2020-08-11 19:02:18,United States,US,Maine,US-ME,Kennebec,US-ME-011,,14.0,,,AA ME WTVL Castonguay Square,L7773061,P,2019-06-07,20:45:00,obs1139476,S57193810,Traveling,P22,EBIRD,10,0.483,,2,True,,not much activity after sundown!,787565.024756644,992671.4921029259,44.549613599999894,-69.6291569,23.6077777777778,8.15,15.845,0.40333333333333293,False,23,2,3341,2.302585092994046,afternoon/evening,18-21,developed,dusk
S57003837,2019-07-01 10:22:13,United States,US,Tennessee,US-TN,Montgomery,US-TN-125,,24.0,,,Dunbar Cave SP,L795860,H,2019-06-02,13:30:00,obs516861,S57003837,Traveling,P22,EBIRD,23,0.975,,1,True,,,-698002.158819239,90993.30852020711,36.554431192817,-87.3041438323766,6.543611111111111,16.0302777777778,7.964722222222219,17.4669444444444,True,21,2,11291,3.1354942159291497,afternoon/evening,12-15,developed,mid-day
S69323343,2020-05-19 14:51:13,United States,US,Maine,US-ME,Sagadahoc,US-ME-023,,,,43069H7NW,NJ1193; Woolwich-5; A,L11492440,P,2019-06-11,20:28:00,obs556774,S69323343,Stationary,P21,EBIRD_ATL_ME,6,,,1,True,,"6-minute stationary point count surveys conducted for Maine Breeding Bird Atlas. For more information, contact Adrienne.J.Leppold@maine.gov",779819.2632402341,925865.9658412909,43.9622869999999,-69.812846,23.9047222222222,8.46916666666667,15.528333333333302,0.10388888888888902,False,43,2,4052,1.791759469228055,afternoon/evening,18-21,forest,dusk
S57759383,2019-07-02 09:44:22,United States,US,Virginia,US-VA,King and Queen,US-VA-097,,27.0,,o37076E7NE,K,L9548893,P,2019-06-28,11:17:00,obs7435,S57759383,Stationary,P21,EBIRD_ATL_VA,13,,,1,True,,,242050.738651855,181128.84133397602,37.599678999999796,-76.758136,9.25861111111111,18.5233333333333,5.48333333333333,14.7416666666667,True,43,2,10506,2.5649493574615367,morning,9-12,forest,late-morning
S57451686,2019-06-17 09:18:52,United States,US,Massachusetts,US-MA,Essex,US-MA-009,,30.0,,,Topsfield Fairgrounds,L523700,H,2019-06-17,08:56:00,obs21889,S57451686,Stationary,P21,EBIRD,22,,,1,True,,,702608.4331632861,768580.2124481279,42.6267912999999,-70.946188,11.466944444444401,20.1597222222222,3.84166666666667,12.539166666666699,True,90,2,5446,3.091042453358316,morning,6-9,baseline,late-morning
S57018482,2019-06-02 21:55:35,United States,US,Minnesota,US-MN,St. Louis,US-MN-137,,12.0,,,Backyard bliss,L4684674,P,2019-06-01,10:15:00,obs420665,S57018482,Stationary,P21,EBIRD,15,,,1,True,,,-962870.069594658,1274365.36887614,46.855525,-92.01944590000001,10.6613888888889,19.0344444444444,4.955555555555559,13.3536111111111,True,43,3,1266,2.70805020110221,morning,9-12,forest,late-morning
S57257526,2019-06-10 11:05:01,United States,US,Iowa,US-IA,Polk,US-IA-153,,22.0,,,Walnut Woods SP--Campground and Trail,L2472815,H,2019-06-08,18:59:00,obs1376943,S57257526,Traveling,P22,EBIRD,120,1.609,,4,True,,,-1185212.17830085,706776.254284755,41.5425576999999,-93.7399355,1.8036111111111102,10.6986111111111,13.297777777777801,22.2063888888889,True,21,1,6420,4.787491742782046,afternoon/evening,18-21,developed,late-evening
S57789643,2019-06-30 14:10:06,United States,US,New York,US-NY,Suffolk,US-NY-103,US-NY_758,30.0,,,"Hunters Garden, Eastport",L715870,H,2019-06-29,11:15:00,obs320098,S57789643,Traveling,P22,EBIRD,45,0.805,,1,True,,,571467.240464723,562648.328744455,40.8796485999998,-72.7195761,9.194722222222222,18.1222222222222,5.88527777777778,14.804444444444401,True,42,3,7237,3.8066624897703196,morning,9-12,forest,late-morning
S57756324,2019-06-28 10:42:42,United States,US,North Carolina,US-NC,Wake,US-NC-183,,29.0,,,Prairie Ridge Ecostation for Wildlife Learning,L579187,H,2019-06-28,08:58:00,obs22959,S57756324,Traveling,P22,EBIRD,103,1.385,,1,True,,Birds seen and heard while conducting foliage arthropod surveys,70845.6792974806,-20632.157867287,35.81146199999971,-78.7166226,11.619166666666699,21.056944444444397,2.94944444444444,12.3813888888889,True,21,2,11982,4.634728988229636,morning,6-9,developed,early-morning
S57206874,2019-06-08 18:30:56,United States,US,Virginia,US-VA,Emporia,US-VA-595,,27.0,,o36077F5CE,Near Applebees,L9432998,P,2019-06-08,18:15:00,obs23890,S57206874,Traveling,P22,EBIRD_ATL_VA,5,0.161,,1,True,,,174978.70230977802,79764.7466077054,36.701921199999795,-77.5419221,2.2072222222222204,11.6022222222222,12.395555555555598,21.801666666666698,True,90,2,11211,1.6094379124341003,afternoon/evening,18-21,baseline,late-evening
G5365245,2020-05-21 20:16:13,United States,US,Colorado,US-CO,Grand,US-CO-049,US-CO_472,16.0,,,Rocky Mountain NP--Lake Irene area,L2295556,H,2019-06-26,11:45:00,"obs856370,obs350377","S69419820,S69437774",Stationary,P21,EBIRD,30,,,2,True,G5365245,,-2205098.36562927,805527.935410881,40.412589299999794,-105.8207658,8.87583333333333,17.834166666666697,6.17222222222222,15.125,True,42,1,7660,3.4011973816621555,morning,9-12,forest,mid-day
S57623532,2019-06-23 14:10:11,United States,US,New Jersey,US-NJ,Monmouth,US-NJ-025,US-NJ_3134,30.0,,,Fletcher Lake,L6144907,H,2019-06-23,14:05:00,obs725941,S57623532,Traveling,P22,EBIRD,4,0.66,,1,True,,,467562.55272612296,480971.76910303603,40.208114599999796,-74.0066099,6.405555555555559,15.3736111111111,8.63111111111111,17.5972222222222,True,11,3,7944,1.3862943611198906,afternoon/evening,12-15,water,mid-day
S57644792,2019-06-24 07:11:04,United States,US,Connecticut,US-CT,Middlesex,US-CT-007,,30.0,,,Machimoodus State Park,L809185,H,2019-06-22,10:30:00,obs41058,S57644792,Traveling,P22,EBIRD,75,2.414,,2,True,,,586604.051917549,632550.45782732,41.496492499999796,-72.47783659999999,9.956944444444439,18.7775,5.22666666666667,14.0463888888889,True,41,3,6711,4.31748811353631,morning,9-12,forest,late-morning
S57092771,2019-06-05 10:13:46,United States,US,Wisconsin,US-WI,Fond du Lac,US-WI-039,,23.0,,4308872CE,"Barrett Street, Saint Cloud",L9091039,P,2019-06-04,17:36:00,obs89059,S57092771,Stationary,P21,EBIRD_ATL_WI,39,,,1,True,,,-699605.705170959,902161.0405210741,43.82213589999989,-88.1693803,2.90333333333333,11.596944444444402,12.3963888888889,21.1091666666667,True,82,3,4189,3.6635616461296463,afternoon/evening,15-18,baseline,late-evening
S57770243,2019-06-28 20:37:05,United States,US,Georgia,US-GA,DeKalb,US-GA-089,,29.0,,,"1502 Vancouver Drive, Tucker, Georgia, US (33.825, -84.246)",L7307525,P,2019-06-28,18:45:00,obs98768,S57770243,Stationary,P21,EBIRD,60,,,1,True,,While moving mulch,-440335.599130009,-230377.745733759,33.8248241999996,-84.2459196,2.11361111111111,11.733333333333302,12.2727777777778,21.8872222222222,True,22,2,13385,4.0943445622221,afternoon/evening,18-21,developed,late-evening
S57352122,2019-06-13 19:07:25,United States,US,New York,US-NY,Westchester,US-NY-119,,28.0,,,Oregon Rd,L4574363,P,2019-06-13,18:52:00,obs675743,S57352122,Stationary,P21,EBIRD,14,,,1,True,,,468270.17637834,603493.955925047,41.3082535999999,-73.9114877,1.62805555555556,10.498333333333301,13.501111111111099,22.3797222222222,True,22,3,6878,2.6390573296152584,afternoon/evening,18-21,developed,late-evening
S58022944,2019-07-08 09:11:47,United States,US,Michigan,US-MI,Lenawee,US-MI-091,,22.0,,,Riverview Terrace High Rise,L1044159,P,2019-06-23,12:33:00,obs97328,S58022944,Stationary,P21,EBIRD,62,,,1,True,,,-377438.90021524,664253.459574282,41.8983600999999,-84.041993,8.703888888888889,17.4802777777778,6.52472222222222,15.2986111111111,True,21,3,6105,4.127134385045092,night,12-15,developed,mid-day
S57148882,2019-11-02 21:37:08,United States,US,Virginia,US-VA,Nelson,US-VA-125,,28.0,,o37078G8NE,Horseshoe Mountain NE -- Pt. 3,L9420800,P,2019-06-06,06:17:00,obs788432,S57148882,Stationary,P21,EBIRD_ATL_VA,5,,,1,True,,,51986.3960008024,207406.124348338,37.8672959999998,-78.909051,14.3027777777778,23.6088888888889,0.3875,9.706944444444439,True,41,2,10186,1.6094379124341003,morning,6-9,forest,early-morning
S56996717,2019-06-02 11:39:45,United States,US,Massachusetts,US-MA,Essex,US-MA-009,,30.0,,,Independence Greenway Trail,L1331363,H,2019-06-02,09:52:00,obs278201,S56996717,Traveling,P22,EBIRD,58,1.078,,1,True,,,699008.271049618,759213.014088033,42.5460223999999,-71.0002157,10.3925,19.2733333333333,4.719444444444441,13.620277777777801,True,23,2,5445,4.060443010546419,morning,9-12,developed,late-morning
S57556630,2019-06-21 09:50:21,United States,US,Montana,US-MT,Broadwater,US-MT-007,,10.0,,,"Riverview Rd., Three Forks",L9507379,P,2019-06-16,17:10:00,obs163044,S57556630,Stationary,P21,EBIRD_CAN,270,,,1,True,,,-2463930.24009486,1532861.61107193,45.8939183999999,-111.60303529999999,4.14916666666667,12.425,11.5755555555556,19.8577777777778,True,71,3,1993,5.598421958998375,afternoon/evening,15-18,baseline,early-evening
G4250662,2019-06-04 01:02:23,United States,US,Oregon,US-OR,Josephine,US-OR-033,,5.0,,,"County park, 359 Main Street, Wolf Creek, Oregon, US (42.694, -123.403)",L9402329,P,2019-06-03,11:32:00,"obs30686,obs565626","S57056183,S57069822",Traveling,P22,EBIRD,49,1.3519999999999999,,2,True,G4250662,,-3473905.66077452,1583465.79732593,42.6943920999999,-123.4026547,9.241944444444439,18.084166666666697,5.90916666666667,14.770555555555598,True,42,2,5094,3.8918202981106265,morning,9-12,forest,late-morning
S57371625,2019-06-14 15:05:55,United States,US,Tennessee,US-TN,Hamilton,US-TN-065,,28.0,,,"200 N Forrest Ave, Lookout Mountain US-TN (34.9963,-85.3476)",L8520815,P,2019-06-14,13:51:00,obs164953,S57371625,Stationary,P21,EBIRD,1,,,1,True,,Clear skies temperature 74 degrees wind calm.,-534209.740246162,-94573.0412311977,34.9963439889237,-85.3476448282146,7.09222222222222,16.599722222222198,7.401111111111111,16.9141666666667,True,21,3,12584,0.0,afternoon/evening,12-15,developed,mid-day
